"cell_id","umap_x","umap_y","tissue_x","tissue_y","cluster","color_hex"
"blknhjgl-1",-8.47723144939256,1.59934437708456,8500.9052734375,-8659.3017578125,"Epi_SecA","#E69F00"
"blknjhie-1",-7.53346485545945,2.52049196199972,8499.84375,-8648.4892578125,"Epi_SecA","#E69F00"
"blknjmmm-1",-7.21874947002244,0.382844184203927,8525.0439453125,-8603.8583984375,"Epi_SecA","#E69F00"
"blknlbmh-1",-7.89347500255418,-0.186725962297137,8521.5,-8617.8232421875,"Epi_SecA","#E69F00"
"blkoafek-1",-6.83933443477464,-0.335479359463866,8515.533203125,-8602.3681640625,"Epi_SecA","#E69F00"
"blkoaonm-1",-4.41111607005906,-3.61537968678873,8504.259765625,-8602.8310546875,"Epi_SecA","#E69F00"
"blkocogp-1",-5.30249161174607,-2.64819800420206,8517.7763671875,-8574.73046875,"Epi_SecB","#56B4E9"
"blkodebb-1",-6.09742826869798,-1.93296205563944,8514.59765625,-8584.0048828125,"Epi_SecA","#E69F00"
"blkogbjk-1",-5.03219170024705,-2.20914589925211,8508.2763671875,-8576.5830078125,"Epi_SecB","#56B4E9"
"blkoigen-1",-7.24457497051072,1.00966811613638,8485.4912109375,-8500.9951171875,"Epi_SecA","#E69F00"
"blkpafdh-1",-7.91013092449021,0.964281801744287,8481.2626953125,-8527.5380859375,"Epi_SecA","#E69F00"
"blkpckph-1",-7.55095810344529,1.02081716494161,8486.7705078125,-8513.5732421875,"Epi_SecA","#E69F00"
"blkpddki-1",-7.36399502208543,0.136365671320741,8495.474609375,-8532.4443359375,"Epi_SecA","#E69F00"
"blkpekem-1",4.24602346965957,-5.52934276624125,8505.6923828125,-8540.0908203125,"Mesenchymal","#F0E442"
"blkphaea-1",-8.07119984081102,0.312457059188668,8511.2060546875,-8527.9501953125,"Epi_SecA","#E69F00"
"blkphncd-1",4.3806312615602,-5.50782072110575,8492.2431640625,-8542.513671875,"T cell","#1C91D4"
"blkpimnp-1",-7.4019569819243,1.3544913573702,8498.2109375,-8502.728515625,"Epi_SecA","#E69F00"
"blkpjdpa-1",-7.83076519420457,-0.185972418026145,8496.76171875,-8517.7158203125,"Epi_SecA","#E69F00"
